OBJECTID,CT_Num,TractCE,ACAData_csv_Qualifying_Name,CT_area_Yds
1,,,,4734865311.492409700000000
2,057,091001,"Census Tract 910.01, Cherokee County, Georgia",10915374.759130800000000
3,063,040204,"Census Tract 402.04, Clayton County, Georgia",3313872.604918629900000
4,063,040513,"Census Tract 405.13, Clayton County, Georgia",8378821.364168670000000
5,063,040519,"Census Tract 405.19, Clayton County, Georgia",1893479.078105039900000
6,063,040615,"Census Tract 406.15, Clayton County, Georgia",3895751.411773860000000
7,067,030220,"Census Tract 302.20, Cobb County, Georgia",2157235.041239810200000
8,067,030318,"Census Tract 303.18, Cobb County, Georgia",14136088.889844000000000
9,067,030322,"Census Tract 303.22, Cobb County, Georgia",4471715.669097750400000
10,067,030340,"Census Tract 303.40, Cobb County, Georgia",5136072.196153580200000
11,067,030902,"Census Tract 309.02, Cobb County, Georgia",6076240.376107060400000
12,067,031209,"Census Tract 312.09, Cobb County, Georgia",4087787.303994370200000
13,089,020100,"Census Tract 201, DeKalb County, Georgia",1325990.476356830000000
14,089,020300,"Census Tract 203, DeKalb County, Georgia",2317558.296899970200000
15,089,020500,"Census Tract 205, DeKalb County, Georgia",2016516.963626690000000
16,089,021216,"Census Tract 212.16, DeKalb County, Georgia",4352627.309198349700000
17,089,021906,"Census Tract 219.06, DeKalb County, Georgia",3719514.040150510100000
18,089,022700,"Census Tract 227, DeKalb County, Georgia",2701519.173498869900000
19,089,023507,"Census Tract 235.07, DeKalb County, Georgia",4270669.620730189600000
20,097,080304,"Census Tract 803.04, Douglas County, Georgia",12310712.971012600000000
21,113,140206,"Census Tract 1402.06, Fayette County, Georgia",17212836.706851799000000
22,121,000600,"Census Tract 6, Fulton County, Georgia",1736520.685833019900000
23,121,001800,"Census Tract 18, Fulton County, Georgia",1103361.752077169900000
24,121,002800,"Census Tract 28, Fulton County, Georgia",892851.732728114000000
25,121,004400,"Census Tract 44, Fulton County, Georgia",989903.437432465960000
26,121,005000,"Census Tract 50, Fulton County, Georgia",1625858.766506510100000
27,121,005800,"Census Tract 58, Fulton County, Georgia",1514311.056851930000000
28,121,006500,"Census Tract 65, Fulton County, Georgia",3909597.477561320200000
29,121,006602,"Census Tract 66.02, Fulton County, Georgia",761085.673920465980000
30,121,008400,"Census Tract 84, Fulton County, Georgia",2146395.559229909900000
31,121,009403,"Census Tract 94.03, Fulton County, Georgia",1393861.385420959900000
32,121,010210,"Census Tract 102.10, Fulton County, Georgia",5610247.347427389600000
33,121,011301,"Census Tract 113.01, Fulton County, Georgia",6056877.741662819900000
34,121,011420,"Census Tract 114.20, Fulton County, Georgia",1989446.337995260000000
35,121,011622,"Census Tract 116.22, Fulton County, Georgia",20592274.091101799000000
36,135,050109,"Census Tract 501.09, Gwinnett County, Georgia",10528397.772841400000000
37,135,050410,"Census Tract 504.10, Gwinnett County, Georgia",7482306.014111110000000
38,135,050436,"Census Tract 504.36, Gwinnett County, Georgia",6707562.868535500000000
39,135,050540,"Census Tract 505.40, Gwinnett County, Georgia",5235171.174279870500000
40,151,070108,"Census Tract 701.08, Henry County, Georgia",15203817.747638199000000
41,151,070310,"Census Tract 703.10, Henry County, Georgia",17373324.211517300000000
42,121,000400,"Census Tract 4, Fulton County, Georgia",1916635.299277239900000
43,121,000700,"Census Tract 7, Fulton County, Georgia",2087742.460946979900000
44,121,001400,"Census Tract 14, Fulton County, Georgia",862976.019395034990000
45,121,001900,"Census Tract 19, Fulton County, Georgia",1191240.510710600100000
46,121,002900,"Census Tract 29, Fulton County, Georgia",866437.343518911050000
47,121,003600,"Census Tract 36, Fulton County, Georgia",462901.831315290010000
48,121,006802,"Census Tract 68.02, Fulton County, Georgia",887530.268613505990000
49,121,007500,"Census Tract 75, Fulton County, Georgia",3990404.036970700100000
50,121,007808,"Census Tract 78.08, Fulton County, Georgia",1942130.223052030000000
51,121,008101,"Census Tract 81.01, Fulton County, Georgia",1116434.491518740100000
52,121,008902,"Census Tract 89.02, Fulton County, Georgia",8517017.377020679400000
53,121,010120,"Census Tract 101.20, Fulton County, Georgia",1239333.324973420000000
54,121,010508,"Census Tract 105.08, Fulton County, Georgia",4685610.516821919900000
55,121,010515,"Census Tract 105.15, Fulton County, Georgia",13560443.441777499000000
56,121,011202,"Census Tract 112.02, Fulton County, Georgia",3846393.461406169900000
57,121,011416,"Census Tract 114.16, Fulton County, Georgia",7940978.005569679700000
58,121,011506,"Census Tract 115.06, Fulton County, Georgia",13658200.360469000000000
59,121,011623,"Census Tract 116.23, Fulton County, Georgia",11070185.798995299000000
60,135,050211,"Census Tract 502.11, Gwinnett County, Georgia",4099064.694579919800000
61,135,050308,"Census Tract 503.08, Gwinnett County, Georgia",6799913.992664409800000
62,135,050418,"Census Tract 504.18, Gwinnett County, Georgia",2470662.922118309900000
63,135,050430,"Census Tract 504.30, Gwinnett County, Georgia",7779284.604516210000000
64,135,050521,"Census Tract 505.21, Gwinnett County, Georgia",6699660.401571669600000
65,135,050533,"Census Tract 505.33, Gwinnett County, Georgia",7809934.093279969900000
66,135,050539,"Census Tract 505.39, Gwinnett County, Georgia",2783352.705871849800000
67,135,050713,"Census Tract 507.13, Gwinnett County, Georgia",7970323.148778430200000
68,135,050720,"Census Tract 507.20, Gwinnett County, Georgia",12726394.014161499000000
69,151,070106,"Census Tract 701.06, Henry County, Georgia",19820648.453335699000000
70,151,070305,"Census Tract 703.05, Henry County, Georgia",48856354.116228700000000
71,247,060309,"Census Tract 603.09, Rockdale County, Georgia",10116248.736757699000000
72,063,040302,"Census Tract 403.02, Clayton County, Georgia",6878463.138411319800000
73,063,040514,"Census Tract 405.14, Clayton County, Georgia",5819915.993695359700000
74,063,040520,"Census Tract 405.20, Clayton County, Georgia",2589103.321512579900000
75,063,040616,"Census Tract 406.16, Clayton County, Georgia",7541922.503503830200000
76,067,030234,"Census Tract 302.34, Cobb County, Georgia",14145526.980829099000000
77,067,030314,"Census Tract 303.14, Cobb County, Georgia",9598529.249555159400000
78,067,030339,"Census Tract 303.39, Cobb County, Georgia",5433185.114632669800000
79,067,030409,"Census Tract 304.09, Cobb County, Georgia",4428151.840766079700000
80,067,030414,"Census Tract 304.14, Cobb County, Georgia",2960705.397617150100000
81,067,030700,"Census Tract 307, Cobb County, Georgia",5134942.418470960100000
82,067,031101,"Census Tract 311.01, Cobb County, Georgia",3980080.925254699800000
83,067,031114,"Census Tract 311.14, Cobb County, Georgia",3377787.400020290200000
84,067,031207,"Census Tract 312.07, Cobb County, Georgia",3371860.610138909900000
85,089,020400,"Census Tract 204, DeKalb County, Georgia",1221401.676305329900000
86,089,020600,"Census Tract 206, DeKalb County, Georgia",1320421.194474260100000
87,089,021204,"Census Tract 212.04, DeKalb County, Georgia",5601613.252535720400000
88,089,021215,"Census Tract 212.15, DeKalb County, Georgia",3898894.632062780200000
89,089,021502,"Census Tract 215.02, DeKalb County, Georgia",4255707.005475490400000
90,089,021808,"Census Tract 218.08, DeKalb County, Georgia",3661700.441948560100000
91,089,021910,"Census Tract 219.10, DeKalb County, Georgia",4423427.721220010000000
92,089,022402,"Census Tract 224.02, DeKalb County, Georgia",3782916.858814510100000
93,089,023107,"Census Tract 231.07, DeKalb County, Georgia",4502221.407198679600000
94,089,023209,"Census Tract 232.09, DeKalb County, Georgia",5512631.681681259500000
95,089,023424,"Census Tract 234.24, DeKalb County, Georgia",8400586.737688019900000
96,089,023501,"Census Tract 235.01, DeKalb County, Georgia",2746008.108904220200000
97,089,980000,"Census Tract 9800, DeKalb County, Georgia",886320.567892977970000
98,097,080602,"Census Tract 806.02, Douglas County, Georgia",29104801.814181399000000
99,113,140101,"Census Tract 1401.01, Fayette County, Georgia",50978188.056131601000000
100,113,140406,"Census Tract 1404.06, Fayette County, Georgia",16176455.738072000000000
101,063,040306,"Census Tract 403.06, Clayton County, Georgia",5216905.261642140300000
102,067,030218,"Census Tract 302.18, Cobb County, Georgia",10895009.528762000000000
103,067,030310,"Census Tract 303.10, Cobb County, Georgia",10463440.295274001000000
104,067,031115,"Census Tract 311.15, Cobb County, Georgia",4397461.998988470100000
105,089,021416,"Census Tract 214.16, DeKalb County, Georgia",918941.644574785020000
106,089,021813,"Census Tract 218.13, DeKalb County, Georgia",724586.768016955000000
107,089,022010,"Census Tract 220.10, DeKalb County, Georgia",1510749.226946289900000
108,089,023213,"Census Tract 232.13, DeKalb County, Georgia",6074972.811901769600000
109,121,001300,"Census Tract 13, Fulton County, Georgia",1571249.534471629900000
110,121,003100,"Census Tract 31, Fulton County, Georgia",1021916.541782160100000
111,121,005300,"Census Tract 53, Fulton County, Georgia",2634898.089711369900000
112,121,008903,"Census Tract 89.03, Fulton County, Georgia",1390208.948797790100000
113,121,009602,"Census Tract 96.02, Fulton County, Georgia",2833637.948560779900000
114,121,010800,"Census Tract 108, Fulton County, Georgia",6676375.124693090100000
115,121,011800,"Census Tract 118, Fulton County, Georgia",2272452.972593809900000
116,135,050219,"Census Tract 502.19, Gwinnett County, Georgia",3440973.816016430000000
117,135,050319,"Census Tract 503.19, Gwinnett County, Georgia",4170350.018767579900000
118,135,050433,"Census Tract 504.33, Gwinnett County, Georgia",1517815.133388760000000
119,151,070104,"Census Tract 701.04, Henry County, Georgia",29117946.847571399000000
120,121,007400,"Census Tract 74, Fulton County, Georgia",2779843.057095999800000
121,121,011616,"Census Tract 116.16, Fulton County, Georgia",6876707.359738339700000
122,067,030312,"Census Tract 303.12, Cobb County, Georgia",10382113.764685400000000
123,063,040416,"Census Tract 404.16, Clayton County, Georgia",4609501.836638039900000
124,067,031113,"Census Tract 311.13, Cobb County, Georgia",1339860.938830199900000
125,067,031310,"Census Tract 313.10, Cobb County, Georgia",14169317.334495701000000
126,089,020900,"Census Tract 209, DeKalb County, Georgia",5163113.216046029700000
127,089,022401,"Census Tract 224.01, DeKalb County, Georgia",3230437.899274650000000
128,089,023504,"Census Tract 235.04, DeKalb County, Georgia",2608253.758384959800000
129,097,080303,"Census Tract 803.03, Douglas County, Georgia",6202511.113685360200000
130,121,010121,"Census Tract 101.21, Fulton County, Georgia",2479560.570503570100000
131,135,050315,"Census Tract 503.15, Gwinnett County, Georgia",3366475.176396839800000
132,135,050426,"Census Tract 504.26, Gwinnett County, Georgia",10188449.240242200000000
133,135,050722,"Census Tract 507.22, Gwinnett County, Georgia",4367007.825736169700000
134,121,008201,"Census Tract 82.01, Fulton County, Georgia",6386334.808509700000000
135,121,009603,"Census Tract 96.03, Fulton County, Georgia",2232881.486474089800000
136,121,011100,"Census Tract 111, Fulton County, Georgia",4151755.602948680100000
137,121,011900,"Census Tract 119, Fulton County, Georgia",1789821.410287390000000
138,121,001202,"Census Tract 12.02, Fulton County, Georgia",579058.179710578990000
139,063,040203,"Census Tract 402.03, Clayton County, Georgia",3477666.163789439900000
140,063,040617,"Census Tract 406.17, Clayton County, Georgia",1309177.690574110000000
141,067,031112,"Census Tract 311.12, Cobb County, Georgia",4869388.180630030100000
142,089,022004,"Census Tract 220.04, DeKalb County, Georgia",4425687.229225940100000
143,089,023211,"Census Tract 232.11, DeKalb County, Georgia",2979211.346370270000000
144,135,050425,"Census Tract 504.25, Gwinnett County, Georgia",8510367.455736050400000
145,135,050725,"Census Tract 507.25, Gwinnett County, Georgia",5944842.628685819900000
146,063,040414,"Census Tract 404.14, Clayton County, Georgia",2501673.762745319900000
147,135,050538,"Census Tract 505.38, Gwinnett County, Georgia",6151335.515750190200000
148,135,050105,"Census Tract 501.05, Gwinnett County, Georgia",17360930.682229999000000
149,135,050107,"Census Tract 501.07, Gwinnett County, Georgia",22165199.211767301000000
150,135,050214,"Census Tract 502.14, Gwinnett County, Georgia",13069388.013850801000000
151,135,050217,"Census Tract 502.17, Gwinnett County, Georgia",15519749.088691499000000
152,135,050306,"Census Tract 503.06, Gwinnett County, Georgia",12128818.697826499000000
153,135,050309,"Census Tract 503.09, Gwinnett County, Georgia",14876223.587780900000000
154,135,050313,"Census Tract 503.13, Gwinnett County, Georgia",9388618.504111800300000
155,135,050321,"Census Tract 503.21, Gwinnett County, Georgia",6263036.515785129700000
156,135,050417,"Census Tract 504.17, Gwinnett County, Georgia",3160991.247098940000000
157,135,050423,"Census Tract 504.23, Gwinnett County, Georgia",7161560.270807090200000
158,135,050428,"Census Tract 504.28, Gwinnett County, Georgia",9059894.505589220700000
159,135,050431,"Census Tract 504.31, Gwinnett County, Georgia",6506469.797571379700000
160,057,090501,"Census Tract 905.01, Cherokee County, Georgia",116129268.781416000000000
161,113,140203,"Census Tract 1402.03, Fayette County, Georgia",32208439.769701399000000
162,113,140305,"Census Tract 1403.05, Fayette County, Georgia",31304754.152320400000000
163,113,140403,"Census Tract 1404.03, Fayette County, Georgia",19067596.475081701000000
164,113,140502,"Census Tract 1405.02, Fayette County, Georgia",86476704.600085199000000
165,135,050520,"Census Tract 505.20, Gwinnett County, Georgia",6663102.392540429700000
166,135,050523,"Census Tract 505.23, Gwinnett County, Georgia",9229155.218757620100000
167,135,050530,"Census Tract 505.30, Gwinnett County, Georgia",4236608.290080579900000
168,135,050532,"Census Tract 505.32, Gwinnett County, Georgia",6896397.330818530200000
169,135,050535,"Census Tract 505.35, Gwinnett County, Georgia",7837909.386070570000000
